num_target;   la; isd; niter;     tex; te_acc;
         20305;  1.0;   3;    25;  0.0711;   71.4;
         5438;  1.0;   3;    25;  0.0637;   68.6;
         41797;  1.0;   3;    25;  0.0639;   68.9;
         13574;  1.0;   3;    25;  0.0636;   57.4;
         44502;  1.0;   3;    25;  0.0684;   78.2;
         60533;  1.0;   3;    25;  0.0684;   74.8;
         39028;  1.0;   3;    25;  0.0696;   65.7;
         79959;  1.0;   3;    25;  0.0977;   76.2;
         63856;  1.0;   3;    25;  0.0700;   69.6;
         91112;  1.0;   3;    25;  0.0643;   79.0;
